기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,11260660,망우3동,4104110,1925880,2178230,494785,499313,569565,590701,725003,1224743,585117,582839,564350,578627,575448,595857,621872
20241,11260680,신내1동,5461861,2474474,2987387,1097751,535889,733998,816088,830104,1448032,777728,766945,758609,768514,769726,801692,818649
20241,11260690,신내2동,1921213,886620,1034595,339315,199542,267252,293015,305610,516479,277874,274833,271306,274615,274411,272342,275833
20241,11290525,성북동,4066758,1851589,2215169,635793,649162,617811,628767,641044,894180,577934,584978,579641,579794,576554,581875,585983
20241,11290555,삼선동,9836565,4487096,5349470,1501855,2100035,1494280,1459522,1460455,1820420,1405419,1414696,1426943,1417142,1409737,1394773,1367855
20241,11290575,동선동,8029169,3355710,4673459,1343405,2139287,1169560,1074624,1015743,1286551,1135688,1145216,1147328,1144308,1141847,1161080,1153703
20241,11290580,돈암1동,2850097,1263914,1586185,531438,325990,349331,419206,458497,765636,409056,406165,400576,404533,403041,413481,413246
20241,11290590,돈암2동,2664679,1194696,1469983,599273,281272,345989,474317,415011,548818,377232,367502,372242,367009,366860,397105,416732
20241,11290600,안암동,7136352,3519637,3616714,926718,2718131,935169,740206,763899,1052229,1045514,1076127,1084429,1078563,1015086,925358,911275
20241,11290610,보문동,5624592,2625963,2998629,762698,993882,892686,839410,877953,1257964,801165,803043,792186,800034,791431,803720,833015
20241,11290620,정릉1동,5010013,2262377,2747635,1062797,558927,618293,885012,755407,1129578,713900,699624,692400,699149,695523,743093,766324
20241,11290630,정릉2동,5971581,2693549,3278031,1042413,783590,872893,922693,916465,1433527,850463,839573,835932,836328,838100,875791,895396
20241,11290640,정릉3동,2863742,1388786,1474956,412934,734256,330090,335599,392824,658039,403215,403173,400725,405474,401092,420393,429672
20241,11290650,정릉4동,3562601,1631225,1931376,628137,506930,452585,538400,540692,895856,509901,506379,494763,504664,494431,518571,533888
20241,11290660,길음1동,6783023,3077463,3705561,2022465,634217,714189,1309915,922924,1179314,965672,961710,953342,960498,955226,987983,998591
20241,11290685,길음2동,5069251,2283947,2785304,1059441,551734,666864,930742,769264,1091205,707161,702969,707022,705263,707860,764418,774555
20241,11290705,종암동,10952103,5108906,5843198,2026250,1737547,1375504,1678647,1673318,2460838,1555046,1561959,1543355,1558700,1541072,1583425,1608547
20241,11290715,월곡1동,7658357,3491683,4166675,1556712,923790,995557,1226661,1195640,1759996,1104163,1093664,1097352,1092690,1081109,1086684,1102694
20241,11290725,월곡2동,6011604,2747018,3264586,934295,1028544,849517,850648,904606,1443993,853502,856990,851497,865166,846103,857111,881233
20241,11290760,장위1동,7332234,3326439,4005795,1212360,934876,997978,1133079,1218140,1835801,1049161,1033131,1013677,1031172,1024663,1069578,1110853
20241,11290770,장위2동,4995459,2236987,2758471,618418,677159,694668,708220,818569,1478426,739958,704944,693253,703037,703010,700607,750648
20241,11290780,장위3동,2824436,1366052,1458382,436512,400838,401338,448744,435784,701218,407790,400453,397828,397361,394821,406899,419283
20241,11290810,석관동,10347464,4839165,5508300,1487958,1541078,1436653,1531782,1646424,2703567,1470434,1469056,1457335,1473562,1459145,1490994,1526939
20241,11305534,삼양동,11143427,5351791,5791637,1720695,1323981,1336952,1698903,1824907,3237988,1585651,1560272,1550340,1555198,1563324,1647068,1681575
20241,11305535,미아동,7943183,3698660,4244523,806514,1380763,1048485,1073286,1374086,2260047,1130213,1129179,1131023,1127005,1127480,1151735,1146547
20241,11305545,송중동,12532651,5651159,6881491,1837141,1695234,1685726,1942281,2052539,3319730,1784923,1770157,1772745,1764504,1774567,1833719,1832035
20241,11305555,송천동,12576946,5853622,6723323,2050755,1343982,1527537,1923736,2139612,3591323,1793055,1777466,1771546,1766429,1770039,1829096,1869314
20241,11305575,삼각산동,3118955,1431574,1687381,789353,263459,340413,557257,488827,679646,441453,440493,436422,435804,435155,458085,471545
20241,11305595,번1동,7160604,3377593,3783011,798123,1279261,1018449,1084420,1173936,1806414,1024644,1019001,1015880,1009652,1017654,1032001,1041771
20241,11305603,번2동,2981748,1383436,1598312,416372,370095,354116,422666,479083,939416,424019,421657,413439,421125,418496,434548,448465
20241,11305608,번3동,3422683,1558320,1864362,534502,336352,375826,503792,545029,1127183,489005,486270,478877,483404,481162,497354,506612
20241,11305615,수유1동,6418765,2972747,3446018,854526,914138,839463,897376,1069769,1843494,911748,912041,891609,907281,904445,930721,960920
20241,11305625,수유2동,5518500,2490615,3027885,777787,707991,665968,826184,901883,1638689,783246,772162,763697,770857,775807,816615,836116
20241,11305635,수유3동,10578011,4958196,5619815,1138818,2185962,1552029,1537779,1662923,2500501,1488461,1474967,1480393,1490193,1520987,1571394,1551618
20241,11305645,우이동,4173211,1844500,2328711,600549,566419,546889,615607,670559,1173187,589838,583580,573346,583329,579799,624839,638482
20241,11305660,인수동,8099621,3728451,4371170,1247834,977344,1031953,1192871,1291479,2358139,1149913,1140848,1132313,1138623,1139110,1182583,1216229
20241,11320511,창1동,3689676,1731568,1958109,498643,470456,542635,549599,617660,1010682,525581,519285,514486,517670,523602,538938,550112
20241,11320512,창2동,10416035,4887310,5528724,1617692,1389205,1494077,1616467,1594218,2704376,1469835,1456899,1436261,1460693,1458887,1545951,1587509
20241,11320513,창3동,4018204,1907902,2110301,599183,464422,437774,622626,730901,1163299,571276,565765,555934,567029,566794,585741,605668
20241,11320514,창4동,3667682,1710402,1957280,612757,437381,473072,544714,634837,964922,519844,514259,516067,514800,522353,536298,544060
20234,11500604,가양2동,2089269,945521,1143749,192451,201272,364986,278065,268827,783670,298868,297635,297300,297439,299240,298799,299987
20234,11500605,가양3동,1931869,914908,1016961,174823,240389,467538,318731,255484,474904,279187,282352,282627,281806,277925,264111,263861
20234,11500611,발산1동,5557822,2512299,3045521,1600865,606905,647042,960065,746518,996426,809222,811404,811574,815287,805047,754273,751015
20234,11500615,우장산동,7017897,3220653,3797245,1447446,921761,1032992,1217327,974626,1423746,1001162,995761,995352,991997,997225,1022770,1013632
20234,11500620,공항동,5516663,2740953,2775710,1218432,672223,896789,953582,706833,1068807,794695,794548,793981,793000,789378,773666,777394
20234,11500630,방화1동,7597357,3591070,4006287,1450890,706020,1225181,1313305,1067377,1834584,1083832,1080043,1078474,1077234,1077996,1098420,1101359
20234,11500640,방화2동,4898561,2394550,2504011,583005,664079,896484,759685,748707,1246601,699359,687391,683065,681701,689123,717279,740645
20234,11500641,방화3동,2772262,1335510,1436752,463615,247943,458921,458817,396714,746251,396921,394868,391555,390953,390225,398061,409680
20234,11530510,신도림동,6228326,2913388,3314939,1285845,692888,1098765,1168826,854298,1127705,888285,882801,882347,881486,888482,903157,901769
20234,11530520,구로1동,1960536,955113,1005422,446266,195331,324267,351883,263008,379781,283536,282580,282520,282199,280254,272497,276949
20234,11530530,구로2동,8984845,4402934,4581912,757155,977483,1451114,1633931,1772793,2392369,1298441,1275681,1275087,1276389,1262642,1262305,1334300
20234,11530540,구로3동,6927785,3573951,3353834,684906,1020630,1473268,1362276,1052213,1334490,1017379,1041609,1051827,1053877,1029169,866897,867028
20234,11530550,구로4동,7914891,3940065,3974827,753405,793465,1267338,1433140,1527440,2140102,1133916,1110807,1109142,1110209,1106589,1143142,1201088
20234,11530560,구로5동,7210047,3449615,3760434,869965,1081493,1370617,1217081,1130959,1539932,1022645,1013553,1019365,1017493,1020797,1055466,1060728
20234,11530595,가리봉동,3042018,1698492,1343526,118616,571540,675568,563438,540753,572101,440785,442505,445434,447969,434912,401728,428687
20234,11530720,고척1동,4612851,2192962,2419889,787654,624267,683314,703385,732056,1082175,659150,651613,644007,643048,640533,679275,695225
20234,11530730,고척2동,5227042,2483446,2743596,1070976,508651,646288,824810,829109,1347207,754840,736827,729435,732604,727774,758148,787415
20234,11530740,개봉1동,7996863,3845687,4151176,1261041,866910,1163171,1195457,1290857,2219427,1143371,1119936,1110594,1112190,1112253,1185775,1212744
20234,11530750,개봉2동,4070443,1919888,2150555,600465,485661,657866,629705,604192,1092554,580023,564648,559211,557975,558510,614168,635906
20234,11530760,개봉3동,3737011,1764577,1972436,627055,357806,523915,624794,588022,1015419,532677,524212,521450,521544,521335,552808,562983
20234,11530770,오류1동,4191348,1955355,2235992,585210,693688,759873,603361,598753,950462,594527,585575,584533,581372,584307,623655,637377
20234,11530780,오류2동,4827023,2229849,2597174,918857,554938,763125,767411,684252,1138439,687721,680427,680337,678102,676669,703981,719784
20234,11530790,수궁동,1711252,787281,923971,314179,181950,237268,280128,268260,429465,245636,238646,240066,237994,238553,240913,269442
20234,11530800,항동,1132572,533317,599256,232906,94514,235784,232122,136839,200407,163604,161359,159004,159603,160033,163909,165061
20234,11545510,가산동,4969164,2752828,2216336,227168,1121498,1298752,893057,708413,720275,737139,762403,772652,769851,746553,589987,590579
20234,11545610,독산1동,5003088,2607576,2395512,616351,793323,1068541,830147,749026,945700,719730,718189,717826,719189,714726,704727,708699
20234,11545620,독산2동,3501734,1663847,1837887,344197,433505,603422,562869,635975,921766,499716,484051,481871,481923,480561,519550,554063
20234,11545630,독산3동,4776287,2368285,2408002,439015,702009,858186,762533,832467,1182074,694955,672104,668649,669093,665173,685799,720513
20234,11545640,독산4동,3707947,1779236,1928711,362341,494744,646290,581990,682224,940358,531415,516306,514565,515936,516457,544171,569096
